codigo;populacao;densidade_pop;idh;pib
3523602;17922;27.49;0.724;23278.9
3523701;6453;36.71;0.707;12244.56
3523800;7830;54.2;0.717;16244.19
3523909;172268;241.01;0.773;45313.77
3524006;59649;223.38;0.762;84277.15
3524105;41598;54.87;0.765;30266.17
3524204;6911;24.11;0.711;20466.28
3524303;76864;101.42;0.778;35019.92
3524402;231863;454.94;0.777;43735.14
3524501;6934;38.87;0.723;58703.27
3524600;17842;24.44;0.717;24919.81
3524709;56221;313.37;0.784;158703.96
3524808;49011;127.57;0.776;26810.58
3524907;6485;29.01;0.756;44348.46
3525003;123481;6207.76;0.76;28454.96
3525102;43774;74.99;0.735;23899.44
3525201;29456;114.85;0.733;70617.6
3525300;148581;191.09;0.778;29873.78
3525409;3168;22.26;0.703;30240.12
3525508;13098;31.44;0.699;15749.4
3525607;4495;9.99;0.741;35767.38
3525706;36655;38.1;0.777;34431.94
3525805;4752;34.55;0.716;10823.59
3525854;3315;49.36;0.741;22526.58
3525904;414810;858.42;0.822;98049.82
3526001;20524;32.12;0.745;47068.18
3526100;18908;23.68;0.7;17953.89
3526209;31235;55.03;0.709;14348.63
3526308;4903;18.95;0.693;11629.45
3526407;28240;65.75;0.729;31815.57
3526506;11667;16.33;0.721;13460.71
3526605;7207;39.45;0.729;14740.71
3526704;102412;227.75;0.744;29326.69
3526803;67859;75.88;0.764;36824.98
3526902;303682;475.32;0.775;37057.35
3527009;7864;137.67;0.742;19990.11
3527108;77510;124.98;0.786;55070.04
3527207;88276;199.29;0.766;26852.97
3527256;2278;18.71;0.742;16755.3
3527306;47748;673.37;0.777;250827.01
3527405;21604;63.17;0.752;18542.56
3527504;2385;11.85;0.733;22460.63
3527603;14592;18.85;0.731;74444.27
3527702;5723;30.2;0.702;12438.45
3527801;4571;28.18;0.724;11416.47
3527900;2663;5.71;0.72;32273.06
3528007;17111;72.19;0.77;36621.93
3528106;8093;30.88;0.743;17767.27
3528205;3704;11.18;0.74;19178.36
3528304;3136;10.27;0.753;21246.6
3528403;46852;205.53;0.743;38941.79
3528502;98374;252.44;0.788;17441.73
3528601;9780;39.26;0.739;18494.25
3528700;5757;5.24;0.677;26501.1
3528809;13967;24.97;0.771;36926.11
3528858;2996;23.66;0.752;146456.19
3528908;4077;21.07;0.718;13780.63
3529005;237130;185.21;0.798;31473.42
3529104;2117;27.15;0.731;14394.98
3529203;26289;19.33;0.721;21600.06
3529302;82702;146.3;0.773;45441.41
3529401;468148;6741.41;0.766;30509
3529500;5413;23.79;0.744;41393.06
3529609;3848;16.82;0.731;184602.58
3529658;1910;12.67;0.724;26088.05
3529708;22093;24.88;0.741;49278.71
3529807;12849;56.45;0.73;12835.54
3529906;19919;20.56;0.697;20369.11
3530003;3066;13.01;0.743;18344.76
3530102;29418;29.91;0.751;20960.79
3530201;18178;13.77;0.724;48027.27
3530300;59333;221.1;0.762;30038.14
3530409;4822;25.85;0.738;18210.89
3530508;68788;77.55;0.762;28127.42
3530607;440769;544.12;0.783;33602.58
3530706;150713;168.99;0.774;33665.99
3530805;92715;173.77;0.784;46512.31
3530904;3478;24.43;0.719;19354.6
3531001;2252;20.45;0.772;31663.66
3531100;55731;326;0.754;17115.56
3531209;7964;64.84;0.759;24612.81
3531308;50216;134.61;0.768;35154.66
3531407;24794;43.76;0.785;25992.18
3531506;19050;71.86;0.753;25470.81
3531605;4166;17.47;0.741;21414.11
3531704;4608;12.38;0.71;12828.99
3531803;58765;203.61;0.733;40134.15
3531902;32641;20.97;0.712;38855.69
3532009;13458;80.2;0.715;30316.36
3532058;4720;18.76;0.741;17702.09
3532108;4466;16.69;0.726;13224.34
3532157;3103;9.46;0.714;31673.75
3532207;4809;11.98;0.718;48835.62
3532306;6681;8.01;0.655;9808.62
3532405;18346;50.31;0.678;17291.09
3532504;8936;40.18;0.754;20913.11
3532603;11427;24.61;0.751;25062.32
3532702;5126;31.01;0.713;17638.77
3532801;6875;27.11;0.738;17755.46
3532827;9647;22.1;0.651;30175.15
3532843;1911;16.99;0.715;17285.14
3532868;1255;6.14;0.756;33468.35
3532900;11013;58;0.765;29598.27
3533007;21307;36.06;0.739;20033.57
3533106;2308;63.81;0.726;12788.73
3533205;3883;11.54;0.735;33785.37
3533254;5712;38.99;0.719;8940.83
3533304;4041;46.46;0.743;11081.96
